ICAO,IATA,Name,Country
GBK,GY,Gabon Airlines,Gabon
MCA,,MCA Airlines,Sweden
MAV,ML,Maldivo Airlines,Maldives
VNP,VH,Virgin Pacific,Fiji
ESR,ZE,Eastar Jet,South Korea
JNA,LJ,Jin Air,South Korea
KW1,,Wataniya Airways,Kuwait
BA1,B1,Baltic Air lines,Latvia
YCC,YC,Ciel Canadien,Canada
YCP,CN,Canadian National Airways,Canada
4AA,FA,Epic Holiday,United States
AXC,,Indochina Airlines,Vietnam
FLB,,German Air Force - FLB,Germany
LBL,L8,Line Blue,Germany
LLC,,FlyLAL Charters,Lithuania
TXW,TQ,Texas Wings,United States
DSY,DH,Dennis Sky,Israel
A1F,A1,Atifly,United States
SZB,,Aerolineas heredas santa maria,Dominican Republic
JRB,,Jc royal.britannica,United Kingdom
CA1,C1,CanXpress,Canada
SHA,SH,Sharp Airlines,Australia
CAP,C2,CanXplorer,Canada
WE1,W1,World Experience Airline,Canada
GCR,,Tianjin Airlines,China
LOC,ZQ,Locair,United States
SQH,K5,SeaPort Airlines,United States
HCW,V9,Star1 Airlines,Lithuania
ENJ,,Enerjet,Canada
MXI,I6,MexicanaLink,Mexico
ISX,IP,Island Spirit,Iceland
OBS,,Orbest,Portugal
SOA,,Southern Air Charter,Bahamas
SVG,,SVG Air,Saint Vincent and the Grenadines
CEY,,Air Century,Dominican Republic
OLS,,Sol Lineas Aereas,Argentina
REP,P7,Regional Paraguaya,Paraguay
NDN,,Transportes Aereos Cielos Andinos,Peru
EFY,,EasyFly,Colombia
ANU,,Andalus Lineas Aereas,Spain
DCD,,Air 26,Angola
MTW,,Mauritania Airways,Mauritania
CEL,,CEIBA Intercontinental,Equatorial Guinea
LMU,UJ,AlMasria Universal Airlines,Egypt
MSE,,EgyptAir Express,Egypt
EUD,,Air Italy Egypt,Egypt
KBR,K7,KoralBlue Airlines,Egypt
WRC,,Wind Rose Aviation,Ukraine
GIE,E4,Elysian Airlines,Cameroon
SEN,,Sevenair,Tunisia
IMP,HT,Hellenic Imperial Airways,Greece
AAN,WD,Amsterdam Airlines,Netherlands
NAK,Q9,Arik Niger,Niger
STP,8F,STP Airways,Sao Tome and Principe
SJU,UQ,Skyjet Airlines,Uganda
TDK,,Transavia Denmark,Denmark
RFJ,RL,Royal Falcon,Jordan
MJX,4L,Euroline,Georgia
TRK,,Turkuaz Airlines,Turkey
VKH,VQ,Viking Hellas,Greece
FNA,,Norlandair,Iceland
FVM,,Flugfelag Vestmannaeyja,Iceland
GDR,GP,Gadair European Airlines,Spain
MNP,SM,Spirit of Manila Airlines,Philippines
CQN,OQ,Chongqing Airlines,China
GDC,,Grand China Air,China
CHB,PN,West Air China,China
QAX,C3,QatXpress,Qatar
1CH,1C,OneChina,China
JOY,JR,Joy Air,China
JGN,,Jagson Airlines,India
QFZ,,Fars Air Qeshm,Iran
EAA,,Eastok Avia,Kyrgyzstan
JPU,,Jupiter Airlines,United Arab Emirates
VIS,,Vision Air International,Pakistan
KEA,,Korea Express Air,South Korea
EZA,,Eznis Airways,Mongolia
PFL,,Pacific Flier,Palau
PSB,,Syrian Pearl Airlines,Syria
IPV,PA,Parmiss Airlines (IPV),Iran
EUV,ES,EuropeSky,Germany
BZE,GB,BRAZIL AIR,Brazil
OME,MR,Homer Air,Germany
PQW,WQ,PanAm World Airways,United States
VWA,YY,Virginwings,Germany
KSY,KY,KSY,Greece
BQB,BQ,Buquebus Líneas Aéreas,Uruguay
KOL,CQ,SOCHI AIR,Russia
WAU,WU,Wizz Air Ukraine,Ukraine
VVN,47,88,Cyprus
LMM,LQ,LCM AIRLINES,Russia
AZU,AD,Azul,Brazil
LOO,PQ,LSM Airlines,Russia
PZY,,Zapolyarie Airlines,Russia
FN1,,Finlandian,Finland
LIX,C4,LionXpress,Cameroon
FDB,FZ,Fly Dubai,United Arab Emirates
MDO,D1,Domenican Airlines,Dominican Republic
2CO,,ConneX European Airline,Austria
AXZ,JY,Aereonautica militare,Italy
KLS,,Kal Star Aviation,Indonesia
YZZ,YZ,LSM AIRLINES,Russia
ZZZ,ZP,Zabaykalskii Airlines,Russia
XBM,,CBM America,United States
1QA,M4,Marysya Airlines,Russia
WFX,,Westfalia Express VA,Germany
BSA,BZ,Black Stallion Airways,United States
GER,GM,German International Air Lines,Germany
TBZ,TB,TrasBrasil,Brazil
THS,TH,TransBrasil Airlines,Brazil
IIA,,AIR INDOCHINE,Vietnam
HPY,,Happy Air,Thailand
SRB,,Solar Air,Thailand
MKG,P8,Air Mekong,Vietnam
AHO,HH,Air Hamburg (AHO),Germany
ZTT,Z6,ZABAIKAL AIRLINES,Russia
THI,TI,TransHolding,Brazil
SZZ,,SUR Lineas Aereas,Argentina
AA1,,Aerolineas Africanas,Guinea
SA1,S1,Serbian Airlines,Serbia
TYS,YO,TransHolding System,Brazil
CCC,CB,CCML Airlines,Colombia
ELC,,Small Planet Airlines,Lithuania
FBL,F1,Fly Brasil,Brazil
CIF,1F,CB Airways UK ( Interliging Flights ),United Kingdom
3FF,3F,Fly Colombia ( Interliging Flights ),Colombia
TP6,T6,Trans Pas Air,United States
HYM,HC,Himalayan Airlines,Nepal
IG1,G1,Indya Airline Group,India
TWD,,Turkish Wings Domestic,Turkey
ZXY,ZX,Japan Regio,Japan
IXO,,OCEAN AIR CARGO,India
NX1,,Nihon.jet connect,Kyrgyzstan
SKV,RS,Sky Regional,Canada
UWW,II,LSM International,Russia
BUU,BU,Baikotovitchestrian Airlines,American Samoa
LJJ,L4,Luchsh Airlines,Russia
QQQ,,ENTERair,Poland
ZTF,7M,Mongolian International Air Lines,Mongolia
TWB,TW,Tway Airlines,South Korea
JSR,JX,Jusur airways,Egypt
NXB,XB,NEXT Brasil,Brazil
WER,W4,AeroWorld,Russia
ES2,E1,Usa Sky Cargo,United States
HNX,HN,Hankook Airline,South Korea
SRN,,Sprintair,Poland
MRS,Y8,Marusya Airways,Russia
ERR,7H,Era Alaska,United States
RRJ,R8,AirRussia,Russia
HA1,H1,Hankook Air US,United States
SMW,,Carpatair Flight Training,Romania
RSY,H5,I-Fly,Russia
WTJ,,Whitejets,Brazil
VKJ,KT,VickJet,France
HAY,,Hamburg Airways,Germany
SLC,SO,Salsa d\\'Haiti,Haiti
KND,,Kan Air,Thailand
CUD,,Air Cudlua,United Kingdom
AXE,,Air Explore,Slovakia
N12,12,12 North,India
HCC,,Holidays Czech Airlines,Czech Republic
COE,,Comtel Air,Austria
MIC,,Mint Airways,Spain
OBT,,Orbit Airlines,United States
BUR,,Air Bucharest,Romania
LAV,,AlbaStar,Spain
MAI,L6,Mauritania Airlines International,Mauritania
MKD,6F,MAT Airways,Macedonia
AWM,AW,Asian Wings Airways,Burma
RBG,E5,Air Arabia Egypt,Egypt
EGS,,Eagles Airlines,Italy
YEP,,YES Airways,Poland
DSV,,Direct Aero Services,Romania
MDP,,Medallion Air,Romania
ORC,OI,Orchid Airlines,Australia
AWA,Y5,Asia Wings,Kazakhstan
GNN,,Georgian International Airlines,Georgia
BTM,,Air Batumi,Georgia
NIA,NP,Nile Air,Egypt
FDD,,Feeder Airlines,Sudan
SGG,DN,Senegal Airlines,Senegal
CX0,0X,Copenhagen Express,Denmark
BCC,8B,BusinessAir,Thailand
XOJ,,XOJET,United States
CR7,C7,Sky Wing Pacific,South Korea
BEU,,Bateleur Air,South Africa
AI0,PP,Air Indus,Pakistan
OAI,,Orbit International Airlines,United States
OAR,,Orbit Regional Airlines,United States
OAN,,Orbit Atlantic Airways,United States
VOO,,Volotea,Spain
HTH,,Helitt Líneas Aéreas,Spain
RSD,,Russia State Transport,Russia
MWI,,Malaysia Wings,Malaysia
ABI,U1,Aviabus,Russia
MJG,DF,Michael Airlines,Puerto Rico
KGO,ZC,Korongo Airlines,Congo (Kinshasa)
IDS,I5,Indonesia Sky,Indonesia
666,B0,Aws express,United States
SJS,76,Southjet,United States
ZCS,77,Southjet connect,United States
XAN,78,Southjet cargo,United States
IBS,I2,Iberia Express,Spain
NGB,NJ,Nordic Global Airlines,Finland
SCO,TZ,Scoot,Singapore
ZNA,ZN,Zenith International Airline,Thailand
OAB,O1,Orbit Airlines Azerbaijan,Azerbaijan
FKA,,Flying kangaroo Airline,Australia
RSJ,,RusJet,Russia
VJC,,VietJet Air,Vietnam
RBY,V2,Vision Airlines (V2),United States
WAJ,,AirAsia Japan,Japan
YEL,YE,Yellowtail,United States
RAW,KG,Royal Airways,United States
FHI,FH,FlyHigh Airlines Ireland (FH),Ireland
XSR,,Executive AirShare,United States
HBH,,Hebei Airlines,China
KBZ,,Air KBZ,Burma
TJA,TJ,T.J. Air,United States
UAT,,Ukraine Atlantic,Ukraine
NMA,,Nesma Airlines,Egypt
EHN,,East Horizon,Afghanistan
MJP,,Air Majoro,Peru
RJD,,Rotana Jet,United Arab Emirates
QER,Q3,SOCHI AIR CHATER,Russia
MXD,OD,Malindo Air,Malaysia
HRM,,Hermes Airlines,Greece
КТК,,Катэкавиа,Russia
PKV,,Псковавиа,Russia
M1F,M1,Maryland Air,United States
VVC,5Z,VivaColombia,Colombia
FCM,,Flybe Finland Oy,Finland
BGY,,Bingo Airways,Poland
BBG,,Bluebird Airways (BZ),Greece
IWA,ZM,Apache Air,United States
JTO,NR,Jettor Airlines,Hong Kong
VQI,,Flyme (VP),Maldives
GMR,,Golden Myanmar Airlines,Burma
CNF,,Canaryfly,Spain
KSZ,,Sunrise Airways,Haiti
NCR,N8,National Air Cargo,United States
EAV,13,Eastern Atlantic Virtual Airlines,United States
TTZ,,Transair,Canada
EVC,,Comfort Express Virtual Charters Albany,United States
CEO,,Comfort Express Virtual Charters,United States
FYJ,,FLYJET,Poland
SBD,S8,Snowbird Airlines,Finland
KRY,,Russkie Krylya,Russia
KHK,KH,Kharkiv Airlines,Ukraine
XAU,XA,XAIR USA,United States
RMK,,Simrik Airlines,Nepal
XPT,XP,XPTO,Portugal
DME,,Royal Flight,Russia
EGH,,BBN-Airways,United Kingdom
TKS,,Tomsk-Avia,Russia
NYT,,Yeti Airlines,Nepal
ASL,JU,Air Serbia,Serbia
KCU,,Skyline Ulasim Ticaret A.S.,Turkey
LTU,LT,Air Lituanica,Lithuania
ENY,,Envoy Air,United States
CCB,,CARICOM AIRWAYS (BARBADOS) INC.,Barbados
RAB,RN,Rainbow Air (RAI),United States
RAY,RY,Rainbow Air Canada,Canada
RPO,RX,Rainbow Air Polynesia,United States
RUE,RU,Rainbow Air Euro,United Kingdom
RNY,RM,Rainbow Air US,United States
TNS,,Transilvania,Romania
DOB,QD,Dobrolet,Russia
SAL,S0,Spike Airlines,United States
GCA,,Grand Cru Airlines,Lithuania
RLX,,Go2Sky,Slovakia
AL1,L1,All Argentina,Argentina
AL2,A2,All America,United States
AL3,L9,All Asia,China
99F,9A,All Africa,South Africa
J88,N4,Regionalia México,Mexico
N99,N9,All Europe,United Kingdom
N77,N7,All Spain,Spain
N78,9N,Regional Air Iceland,Iceland
K88,8K,Voestar,Brazil
7KK,7O,All Colombia,Colombia
2K2,2X,Regionalia Uruguay,Uruguay
9XX,9X,Regionalia Venezuela,Venezuela
CR1,9J,Regionalia Chile,Chile
6CC,6C,Vuela Cuba,Cuba
8K8,88,All Australia,Australia
RWW,ER,Fly Europa,Spain
FPT,PO,FlyPortugal,Portugal
SJO,IJ,Spring Airlines Japan,Japan
DWA,KP,Dense Airways,United States
DC2,KZ,Dense Connection,United States
VI4,4S,Vuola Italia,Italy
RSP,,Jet Suite,United States
FJM,,Fly Jamaica Airways,Jamaica
Z9H,Z0,All Argentina Express,Argentina
M7A,2R,All America AR,Argentina
R1R,1R,All America CL,Chile
SAE,Q4,SOCHI AIR EXPRESS,Russia
A9B,1Y,All America BR,Brazil
VC9,9V,Volotea Costa Rica,Costa Rica
OTJ,X5,Fly Romania,Romania
FZW,,Fly Africa Zimbabwe,Zimbabwe
SDI,,San Dima Air,United States
7ZC,0Y,All America CO,Colombia
0MM,0M,All America MX,Mexico
FOX,FX,FOX Linhas Aereas,Brazil
CZV,6V,Via Conectia Airlines,Uruguay
HBR,,Hebradran Air Services,United Kingdom
PBD,,Pobeda,Russia
GTA,E8,City Airways,Thailand
NLH,DU,Norwegian Long Haul AS,Norway
710,,BA101,United Kingdom
TNU,M8,TransNusa Air,Indonesia
T9P,ZT,Tomp Airlines,Chile
FZA,,Fuzhou Airlines,China
SWM,,Sky Angkor Airlines (ZA),Cambodia
GA0,0G,Global Airlines,Argentina
MYP,,Mann Yadanarpon Airlines,Burma
VTI,UK,Air Vistara,India
RGG,1E,TransRussiaAirlines,Russia
RXR,RR,REXAIR VIRTUEL,France
WEN,WR,WestJet Encore,Canada
PPL,OP,Air Pegasus,India
INE,9I,International Europe,Spain
SKV,,Sky Regional Airlines,Canada
VAX,ZV,V Air,Taiwan
CLJ,,Cello Aviation,United Kingdom
PYA,,Pouya Air,Iran
BTQ,4B,Boutique Air (Priv),United States
FEG,,FlyEgypt,Egypt
VOE,V7,VOLOTEA Airways,Spain
IIR,Z5,INAVIA Internacional,Argentina
LTY,LE,Liberty Airways,United States
IAM,,Aeronautica Militare,Italy
BSX,5B,Bassaka airlines,Cambodia
JJP,,Jetstar Japan,Japan
DAK,,First Flying,Japan
UJX,,AtlasGlobal Ukraine,Ukraine
BOV,,Boliviana de Aviacion (OB),Bolivia
UBG,,US-Bangla Airlines,Bangladesh
IBK,,Norwegian Air International (D8),Norway
VIA,V1,VIA Líneas Aéreas,Argentina
GXG,GX,GermanXL,Germany
KYA,,Alghanim,United States
IDX,,Indonesa Air Aisa X,Indonesia
FRF,FF,Fly France,France
ENZ,,Jota Aviation,United Kingdom
EU9,EX,Europe Jet,France
FCB,,COBALT,Cyprus
LTD,,Southern Airways Express,United States
ORG,,Orenburzhie,Russia
WSS,W3,World Scale Airlines,United States
SSA,AG,All America US,United States
UAY,,University of Birmingham Air Squadron (RAF),United Kingdom
CSX,,Choice Airways,United States
ARU,,Aruba Airlines,Aruba
BG1,1K,BudgetAir,Germany
DYA,,Dynamic Airways,United States
FI5,F5,Fly One,Moldova
TEZ,,Tez Jet Airlines,Kyrgyzstan
KUH,,Kush Air,South Sudan
SRY,,ViaAir,United States
PYB,0P,All America BOPY,Paraguay
TVJ,,Thai Vietjet Air,Thailand
CBG,,GX Airlines,China
SJM,7R,Svyaz Rossiya,Russia
